date,headline
2023-01-03,Apple stock surges on strong iPhone sales
2023-01-04,New Apple product launch exceeds expectations
2023-01-05,Analysts raise Apple price target
2023-01-06,Apple faces supply chain challenges
2023-01-09,Apple announces record quarterly revenue
2023-01-10,Concerns over Apple's growth prospects
2023-01-11,Apple partners with leading tech firms
2023-01-12,Apple faces regulatory scrutiny
2023-01-13,Apple's new innovation wows investors
2023-01-17,Apple stock reaches all-time high
